,UII,Bureau,Investment_title,Total_spending,type,CIO_rating,Projects
0,005-000000018,Agricultural Marketing Service,MRP-AMS-Web-Based Supply Chain Management (WBSCM),$31.642,Major IT,3,6
1,005-000000035,Office of Chief Information Officer,SO-OCIO-DISC-AgLearn,$0.000,Major IT,5,6
2,005-000000039,Office of the Secretary,DA-OCP-Integrated Acquisition System (IAS),$0.000,Major IT,5,18
3,005-000000042,Food and Nutrition Service,FNCS-FNS-Anti-Fraud Locator Using EBT Retailer Transactions (ALERT),$5.949,Major IT,3,3
4,005-000000063,Risk Management Agency,FPAC-RMA-13 Emerging Information Technology Architecture (EITA),$16.468,Major IT,3,31
5,005-000000073,Forest Service,NRE-FS-AgPRS - USDA Public Safety Land Mobile Radio System,$42.569,Major IT,3,5
6,005-000000185,Animal and Plant Health Inspection Service,"MRP-APHIS-Certification, Accreditation, Registration, Permitting, and Other Licensing (CARPOL)",$16.427,Major IT,3,4
7,005-000000235,Office of Chief Financial Officer,SO-OCFO-NFC-Payroll Services,$0.000,Major IT,3,14
8,005-000001425,Office of Chief Financial Officer,SO-OCFO-Financial Management Modernization Initiative (FMMI),$121.330,Major IT,5,15
9,005-000001605,Agricultural Marketing Service,MRP-AMS-Conformance Management,$20.851,Major IT,3,6
10,005-000001659,Animal and Plant Health Inspection Service,MRP-APHIS-Animal Disease Traceability Information System (ADTIS),$4.354,Major IT,4,7
11,005-000001838,Rural Development,RD-Enterprise Content Management (ECM),$4.416,Major IT,3,4
12,005-000001870,Farm Service Agency,FPAC-FSA-097 Farm Program Modernization (MIDAS),$8.369,Major IT,3,35
13,005-000002148,Food Safety and Inspection Service,FS-FSIS-Public Health Information System (PHIS),$6.610,Major IT,4,6
14,005-000002223,Forest Service,NRE-FS-Natural Resource Manager (NRM),$29.185,Major IT,5,13
15,005-000002376,Natural Resources Conservation Service,FPAC-NRCS-Conservation Delivery Streamline Initiative (CDSI),$2.672,Major IT,4,6
16,005-000002394,Food and Nutrition Service,FNCS-FNS-Supplemental Nutrition Assistance Program (SNAP) Support,$9.289,Major IT,3,9
17,005-000003010,Office of Chief Financial Officer,SO-OCFO-FSSP-Pegasys,$33.380,Major IT,4,5
18,005-000003190,Office of Chief Financial Officer,SO-OCFO-NFC-Human Capital Management Services,$0.000,Major IT,3,3
19,005-000003195,Office of Chief Financial Officer,SO-OCFO-NFC-Employee Services,$0.000,Major IT,4,5
20,005-000003220,Foreign Agricultural Service,TFAA-FAS-IMART,$3.639,Major IT,3,6
21,005-000003240,Executive Operations,DA-OES-Correspondence Management System (CMS),$0.000,Major IT,1,3
22,005-000003245,Forest Service,NRE-FS-Interagency Resource Ordering Capability (IROC),$2.673,Major IT,4,2
23,005-000003255,Office of the Secretary,DA-OO-Emergency Response,$0.321,Major IT,4,3
24,005-000003272,Farm Service Agency,FPAC-FSA-125 Farm Programs,$25.521,Major IT,3,21
25,005-000003273,Farm Service Agency,FPAC-FSA-126 Farm Loan Programs,$43.220,Major IT,3,13
26,005-000003276,Farm Service Agency,FPAC-FSA-129 Program Financial Services,$18.878,Major IT,3,13
27,005-000003297,Forest Service,NRE-FS-Open Forest (FS Enterprise ePermit),$2.000,Major IT,2,1
28,005-000003310,Animal and Plant Health Inspection Service,MRP-APHIS-National Bio Agro Defense Facility (NBAF),$14.650,Major IT,--,--
29,005-000003311,Farm Production and Conservation Business Center,FPAC-FBC-1001 Customer Engagement and Management Services,$26.475,Major IT,4,12
30,005-000003325,Farm Service Agency,FPAC-FSA-127 Geospatial Services,$47.745,Major IT,4,10
31,005-000003326,Office of the Secretary,DA-OCX-Contact Center,$0.000,Major IT,3,2
32,005-000003327,Office of Chief Information Officer,SO-OCIO-DISC-Robotics Process Automation (RPA),$0.000,Major IT,4,7
33,005-000003328,Office of Chief Information Officer,SO-OCIO-Enterprise Data Analytics Platform and Toolset (EDAPT),$0.000,Major IT,2,1
